"REPO_URL","TASK_ID","#HASHES","HASHES","#PROD_FILES","#TEST_FILES","LAST","MERGE","BASE"
"https://github.com/SoftInstigate/restheart.git","1","100","[812b8cbeb31fbe88ef41dc20d040aa4fe9023f20, 1ef7f832634a206cd7ab565889b7cf88e4c031f5, fa710b247f14d07708b1c40478ee1386af720d6e, ff62a846368004ac7486c9024ae5070eee7bc268, 0c57f15342f7ca54bff0930a57b61ee084119407, 3ebb15958716e14320bc8450c5a3ce0df40cfd27, 74da4669410ad0b809dcac71423ed8925940f5d9, 9fa722e1fbdbc94844deb50f7ced700205c0840d, 7aacd3b01add059c948a2087dce6f327211b4c97, a1b5043cbfadb568a4dd8831c0ea45654abb076f, 386e52f0d093f22aa58b6dc5c6641588632d7b10, 0e6999f1751b0c96c588e4f3ac893c01dbd60222, 4862865d5426896998de34fec26112eb5ffa27d4, 1d517228b7ebb25c58398933d45b1247961d4fca, 066fff257c870c9880046f8aaad26db42640a9dd, c890027d849afe015887cc70688632cf5a92fd5c, f3c15fa0844d0465f1027e36e2f4309e95915aa9, bf8c10e2414806e9de3460369eb94441f90ee312, c10d8bf316b855654b8038d9c9b2d8295cf337ef, 63bdbd1c706a982a671991ef3657dd8923f20207, 426a8493674d496d17694d06a188dc5d20bce863, 767cfbbf8ba22f1a7f34af715efcab55f20d4ce0, fe18729cff3b3bd6b7b6371d6cb9bb8babfc6ed8, 652a14dd8a2b6465927d5c652a8d480bafe67947, 497777b6b2c555006c4170104444e184c834c452, 51afcdfe23f1dd29cb0073c8be4a0619e328ee66, d15dad99547124f7ec3a089f56bbc66f1675aaae, 2050b0c222b7ca6097eb8a1d0c2cf3dcd927d6c5, 9b35cf47dda0899f9510f1679d5ca97fc7e85a7f, 596d7e9be808e932a9e422dfe3592a8f3fffe0d9, 69bebb23523e51c5fb9e6b23e2a564ff8d7b53f3, 695d506c7e418c7caede9be543744f479d51e1ed, 18bc5ad0e314888d3188c362e59c2adbfbe06f9a, 64e69f8a0c1298bbc8635fb85a9865583d439a87, 7a5dd9da2c514779d6b3b9332c9ae627af1b585b, b98abc7e301d7e6a5d7a7e9a6b032146cc56d11c, 97dccfe8b5b0bbad858f51cf86f348e95470d8db, 9cf60ce3838c35a9b4426a5969a4e4b676fed77a, 45c8b9160ba501b2f643226fcc2a8596486ea326, d664c727243bef4ec3cab8f40d79a395437895a0, 71f8a9de5de6eb3d4e035c3aa76bff1198c2b9e5, 9426a3a2b7091c57cd5072bbd65f9e58baf5c585, 11060e65e2609a7745db38503f5f9db3c82ef733, 30f74a9edbbaa66142f5b8ed83660e1e87e0ab7f, b966e2c9c9c5356534afe361f74acc730fdd83ce, 2c130851ca7b712df155bb816506d3fdfe00b012, 557f8d80ded5d03ca4a27183869c6c3392cd25e0, 299d0d3bafefdd12f718203548629bcf7c1b4d68, a93619d9fcb13247aabcac0e227bf0c410ee00bb, ed0f3eb5defc7010666d36fb317788ebdee5604e, c792412c46ed984043fea8cb4ae70528454e7f5b, d74c603a7b534ceca0cf8b4df2a8041cf4a6c693, 881abfb327065e4b6a6a847cc79c7a29c5ff65fb, 81edb4da7e9b26a5ce621e0ca595c17bb442d97c, 880e049e1f87ab8ba840b50c981b678b0f1b68df, 457f4114825160082342549b5ac9fdc8935a37dc, 9ab2c4ee8a8658fcb90fbdb4d12a05474b74c117, 1017d05604aa605e0cd5af2a890c675102affc72, 75d2b79de530075ff514ac24acf06b82265a22f9, c06391589d33ac35d0fa0f75a714036ca97b2142, aacaafe1b7012934467fd8e1d38d0960fbe019f3, aae15c8c606510577cf6fc55ebb6ee67d4482027, f2e75510e1c439718966ef48a79f8dc993532d14, 40d5b285fc5eddcf8187d713f278b23a450b4107, cb4b5ee13f668cd53a3b42547b1e12f811ca9718, 7d922c7a187c5e0b3e04e18610128f716bb812f8, c2eb75d9008f4b28ad8e2d70a229646ed31489cf, b16503aaac04c051f560754332b3a6c07b65b2b2, 48686e6dcb09fd3075aee2d9123e41d732db4b19, 48e6bde7754abd395f4de743f2e66c3e428e43a7, 4ebbc9ebf8ce358c2d5ca57a1fd66c8438d1ac0e, 24762f44753f0f6fae00f07ba9797bbdc1007244, 3c9f53ada679f11e90bca2b29f306c18c8034e3c, 0e1897a2dbaa5258bc81575a3cb53c069c8b4a82, 3ac3b67770287a8fdd26ea2b30f68aec4b745a11, cd01daa2f4c276eee681e42d4b219531bf8d24a8, 7eb7a4fea2b9e284a6a3da16f902b9e08f0c5b7c, 8801465ec17de6dcbca0affd33239b39ff8afa27, 170adebf9e0f847b5cb40d2f8fc60a6051266912, e4d5cda7b7cc013b4a75e5401805ec198dee45cd, 807f5dc5cd2fab8e435d07479e821f9874159814, be177b98455be9b65bbe2b842e22f915822b5bc9, 521ba882d6791a19c5eb39f87ffa2be781914153, f6f03a4d4765dd7de7fca3f9942e58866909e221, 7c2742410125aba8f87bea876b476258042899e2, 94597e26cc7a6a8d09bbb73d858a4c9e4205c24d, acb7af56167c7c45e127d21feeaf8eb683fbc48c, 0a39bd85184fb3a534cfb805295d64876479bba6, d4ee9478e9b9216be97b433f50de40588c308251, 60dec8c243802bd8e06eec782a1987db391f352c, 8f38d0a5efd8ace3551a3d346f1f5d6ecff1aea8, bdd78cc6b683b1beed8c24710d4ed2453e8a7dde, 4bd8299c6961ae2868fbbd792306830f5bd9804c, ef2fede999c1e9ac6e0175651043c1dc28c08f04, 4407b12513432848277bd65b674c2082c59194da, b9cf6b38a2b475979910eb46c5edb0c6e432814d, 390bc455f1659f4b48a3f5d4840bea44d5bae7b2, b9c9492d47af50d98bd89ad28e17da689fa86ab8, 259a5d6b6c85713e5f68b76c0519caff80cc135c, 59cad6a3db40415a67d104445cc80a9fdaffb942]","305","3","812b8cbeb31fbe88ef41dc20d040aa4fe9023f20","41317c4e5380c6f1008b1046182f2efeb3bf8a44","90678556e9244ee494059c4c50f7ec1f923bc8aa"
"https://github.com/SoftInstigate/restheart.git","11","1","[8c0d32906bc8146006eeed81d9e2c09fc6890714]","18","7","8c0d32906bc8146006eeed81d9e2c09fc6890714","535eeeee858c87dd13b1d2382ad75e2ed765b091","de8f994bcd9c36c816c632fa66731740bf417cba"
"https://github.com/SoftInstigate/restheart.git","13","21","[85e6263c68b6bea936154a3513a98263d91249f9, dd4138095daf720828ea72f637d77369affd5e8e, d472120be254ce69b05d8b75eb11c1d3851295ac, 9fa44c1e8fae5f8f9243433910d2a467b4e14558, 60fe7d5e2c571d9a19531fa052af8be7af38944a, fc53a2f26517788f0385e57d7f3ab3a45f319b6c, b9fa216229b560f97dafbedd016192722f4f7374, 0b903f4d8f759b89224e95c115e9f22d32df6c8c, eaa6a59e43a0825b89d6221f8fdeea6017d341c8, c89fd050628111d330a8f889c6398d6110a457ce, 488e0adca77a36c0db98833c704da12bd17f0ada, e8a092200587d06c5075e3c6d37b07a32478eac5, 722331a02b7679fbd4fd1aa2fd275a6c2e0eb98a, cafd491b1de3043d86d77a6116de79f127079fb4, b433cbde1a5c64f096af8f4b2877c16cc32c8326, f249e9a53149c7ac27b90f79ebada551ca7abd96, cf427087f826e1c03abaca4f0041d694a6471d4c, eb72b74b396207c257e1539c2bbc3182296f914e, b56a0381c3dbfac6f3c4709d3fe7de871f76838c, 6254fa25aea8b767ed8185deeaa8c75561eb9246, 2bb5771773b92bcb800648a3860361c8fca47e7b]","1","1","85e6263c68b6bea936154a3513a98263d91249f9","a0eb88001f8d36d4e1faf59cbe6811e510ba0410","7559d385c014e56a1ac29346345367d5895d9f35"
"https://github.com/SoftInstigate/restheart.git","14","25","[7b3a608e701c359173642775676f5beb80d16351, 2b37d2c09252bd2afab80db5ae8976a5020a1568, 4f9a15e2905ae39442db846f0cf463982fff0e2d, a31b1be8a66f2a76c43d42b5e9708f70b169d460, 4bbc36aa733b09192d3631aac1d5ac00c5abf059, ab3637d8b96917f5d47653931bb65d2e1b43a4d6, 1c9e5761f405ccb994a6f6496da07c01c5072527, 3d7507ca0212fab2bbc669eca4ca920ffa78ce6b, ed4c2629ea7d73cad4efcc3579b27b5040b11a99, d3d639eb0b7cef444dd9abd8d65e5364f147d0d4, 71d77b8bd22866efaedc75f419db33262fd54b72, aaf2ecc5b24ab94991835099db73f5902483f890, 545c56d74851a8e126d43d0f1d6267c2f5e7cff3, 8229a61385d80afe63263f3c44ff4c107a6c7a24, e443fa2b4b91428af1cd6423b059eef59c777b35, 71e430c7af92d266f75fc4e4b06109a90132df0b, 842fab1def4f28a06995dc6682013d2a637f9ecc, 605272e1bf90d58dccc20cec3dc12b72f3e9183b, 0d5eb122a1c4115f67537a32bed35b316b0c981c, a74cef755afe6831e35416bf325dca0e3543d959, dca06fd0957d7cb9f680e91e90d5eced66a6c120, 91135f798e9ef05e68a6f865c1d0d64794f91d81, 0e53834053dbafe2fd5afb324bd5910ce55f2f31, eb5e87192ca497c3180c9f33b9cd657893a9c2a5, 6235d3b3821fea9c34ddc1e921f9cd59afbcf90e]","662","9","7b3a608e701c359173642775676f5beb80d16351","a0eb88001f8d36d4e1faf59cbe6811e510ba0410","7559d385c014e56a1ac29346345367d5895d9f35"
"https://github.com/SoftInstigate/restheart.git","19","59","[1494524379d64749874c7a8b5701efc486dc1b46, e0b3861c608e8aeb6693167be29e246641b318b8, f8da68fcba8ceb33aa839e1e7198397dff93d8da, eb1ae2fb3906dfcafeb4e2826fafe4229c5d03a8, e4f574cc73416e9fe78692a990a3b5dac278d4a6, 9f592b5c8da368825a9ecd5bb8b6aa98008539ce, 7e5ec608652dc77fa547cabfb0b7d6fad30e9fa9, 70ac416fe412197556abee9ee5800b50f8259247, 074418784774c654121fc35c2eb37b933b237f27, 58b4d526d72112ae37e9b576d0d1b4da99ef1181, 82e5a358f2482f941fdd1c82b9864b04e8901b16, 2d90a1917be09b516f5b586d6c70b4a65860ecde, 54ffb43f0b6d81ffc44c499e315c88048b851dd5, dc46295a0fd6fa19450003df6beee19ddb59d8fa, bafe3bb867c30e895a2c94739df2951731dc3961, 78028596ca1d7c1ebf83d920fe2c2ae5444d02d7, fc2bb938cc0109f1a644519f431a9f7b7d7d80dd, 0c8ef4436baf70b5cfbd975e9d0b2d7c383b05fa, 698bdaa017f52391145097e0f1a43b304500f81c, f6a11998abc05f953331205f76db42f6252def43, 4bf6ca7a53cec069dd8c58b08b7eacca257259dd, bdf7d04af8c3214f2917610bff2605fd17f0e780, d0eac06af3f3dedc997a3197d707fbeeff57af60, 8672c4d1228c50f22937a5a21178f78775804579, 0aa4986099086a65c2cbc575dfe58246d5305861, 478ca9214d3b3bb4602afb37e6cb0993b0dc2573, 7c57a49d39c4c10da47828f28ec730efca629823, 06102fafd5412c1f475750dcdceeb3536a4c1a61, 9cbd38cc4722981a46659c108e1193822820331f, ad4cd8affc73d452881c5b42d0f412ccd4aea670, 1307233e71155c7e814218a9938974a5df3793fc, 6e945025fce32e08889a290f8fe9a837de86fbce, 2ab4d4074d7c8322eba7a77e7fa7bc772aa3e2db, c12b6270177ba7ebab7e15fee02d637706139536, a9899554f2bc03afcffc4cef747c950a46105726, d94a569757aa6fca5d267af3c53b577216f2d691, 93dbf773f26485cd99181d407380a05c1c7dd3ed, 434659b1467dce1e6f3549c670f127daa424d2bb, 2b5b99be8830501f8850fd3b27ff718c62005f37, b00bed6e87e09ccc3dc2e533ff16e686b349d08a, 787154c150ed564ee5ab949636e7adcfb04c4efa, d92cdb71c28718e7d66056f48dfe67e2ebed1280, bf4307f43f3e9a40648ef69d2dca00ed6fbf92e1, 32f76fd750753d60ee47e0f334150c18d14bb943, f837da71e3e913fd241dc3dd80277b7657eb09c6, 8aaba369c111a208d81bbefa868f9cef4f034505, 4d655d6546660d14246bcb7c657b156f0b3a0fd6, b124d40915d8067015e779b69cc9d79c03760279, 2e5ae383484365cd3400765c261691d22add136f, bf8812522096e062da9909c52be1db0f3e2e239a, c4a3ea0c3d55a5f0dd4054c475cda604a2fd4232, 2520c4748f56e93212f89606ca50f0f7da53ac7a, bc00b755338904214dde5cafde990feb398c25ec, 545fc759a110b5d1437d08cdf30da40bc4b6428a, 20d2bea311361b9b097201b58c012eb6a02a67b1, cbd1310cb8c5bae4070046284f72106be601278f, 5d05f27e8ead57591867db5a82472d7e8ecd7357, f901b499e0cd2a0834a7eb0c2948b4dc0f460653, 34c123d4e5a65415f6778ab561480337093881ce]","91","21","1494524379d64749874c7a8b5701efc486dc1b46","3c25540a70c34e50caa83b33f4f06dd8ebb1c6a7","57ebf79253cca4623c29c31970ed44914b397b5e"
"https://github.com/SoftInstigate/restheart.git","2","7","[b397888166c649edad191e946478325b0b63592e, cd031efad9b45c5298ecee640d31cc4fc4de9cb5, 5a1d431b72b365e1c24a1c8a1b90d0b7d0506121, 1ce58a3dc8c67a4e852172b8cdb1c89c266ddc51, 40dbac33b04729a3c69dcdc4cff7d6e8e4f38d62, 1d057e445a3027c7c9e11f2fbbf1007c86848345, c5dca65aa60d8d18d8e6c574aa6e61fbac7c94e8]","9","4","b397888166c649edad191e946478325b0b63592e","41317c4e5380c6f1008b1046182f2efeb3bf8a44","47227c29364b87326814a3ee74a3bcdf532bde47"
"https://github.com/SoftInstigate/restheart.git","23","3","[274eb37c31c5ca6731d20e909db31aea06852bc9, 625cbbafdde99df9e791157803d452c7a16dad79, bf2d6e508c93df92332b4b1aa2b7bfa08a5e5433]","13","1","274eb37c31c5ca6731d20e909db31aea06852bc9","3e45e5b7e132b0a2eced623ae4247216f249514f","97868472e9d7deb74a0b486cefde66bb09bcbb34"
"https://github.com/SoftInstigate/restheart.git","5","19","[ed6347d6e0f23dfe544847cf415bdc3d4b3432a6, 116f64bc84b0b265ea26c7c0fb78405a66ed840c, ae2ea91064e91c4d243f7c3fe3464e4b7e961994, 41fa5ec84e1aab167bbac0546beb9e51d2e76fae, f7606318075e046a0bcb3b121662434a454df9a0, e1313a9423242a42fa0e730a4b141b5f84ba1861, 76b2a45b6cde91d281bd017113dcd50c0cc92d96, a9a99f4bc997f4908359606044e7c08f997209bc, c522dc1f3c6e9ff7b10171a8d79929fc722e9141, 6ac03e3b54b63e9271fe9159d58858053c46830c, 31a5cd4a84128c13c56193f113804d8a3bb4e41a, d05923ad4015641ee798432a4a01080385eca815, ca9dcd0a1b4ac76289cba9bbf45c5854937380df, 6b74bd0ceb7f392641cf6308c520b74ed1841a70, b81d00a82b104f500a5e17d7a86f841da2e1636e, c184ebb8fff724a7bf2f10f9c30ece7024b983df, 0619afda6fe9ad1340c5cd400b4a258fc2bd29f8, 6144a37de76bf9614483956e4c7389c1bc0e6e7b, 58416fc6518c0bec373f6e225e70cd0f5439cfce]","15","4","ed6347d6e0f23dfe544847cf415bdc3d4b3432a6","90678556e9244ee494059c4c50f7ec1f923bc8aa","943a7d3d2101512a2ef426240cab3b5fe095f475"
