"REPO_URL","TASK_ID","#HASHES","HASHES","#PROD_FILES","#TEST_FILES","LAST","MERGE","BASE"
"https://github.com/metasfresh/metasfresh.git","114","18","[46ae928e8adcd7b126d69fe7d4e5212133e82395, 70a57cf6a9686f18ecb8b52c49b4b9d2307effd8, 17fca89740c0fe7e3ee2615ddf6bb3987f291c5d, 5b6952cc2f3148d7b23031955862ec87fdac968d, ea94c34e8d672e45e10d62da6072d6094b17c5cc, 86adb57eb18044d5359b1118e5fa8568c93bdbc8, 8e0c2d0766b8628b0f29da1e0a4722c5546a1d8e, 0283416221e52ad711b2d044c84e0e43008d43ef, 141daf176b77182223574c997f1cbb7fbb2be64e, 0a3006fa2ab3b7b3164af2856578adc3d170d829, f4c0e6208b9fa679eb81cc60764abf31c1c70619, dbf1596fba5f83accadb275dfd8841519836c868, 904aed4ce65cfdedd2100919b8ef3226d7d38b03, 8d1f9fb9193edc10803f7857ec914671132ea8f0, 78330f222ca2a32d1c14ad581a87d31874a1b4ba, 56365b7c0a7cf35ce941fccd5903a516c4ce9780, a7005e6f1951f5b39c6f9c7b7d39910cdcc61d46, 8b9c63e7d841ff66df48c56e7d2132354ca1ff2d]","18","1","46ae928e8adcd7b126d69fe7d4e5212133e82395","8305212d1228b6d672f8fba9ff27ec39358911a6","5519ee5b4c410e9cb965600038b83466ea74bd32"
"https://github.com/metasfresh/metasfresh.git","121","1","[7895277b42a6e7ec13c1df25e8a41123087ab67f]","1","1","7895277b42a6e7ec13c1df25e8a41123087ab67f","9972ddcfa979dc1bc513ab0386a33842dc13d604","29e94c2b9daed27f17998fd3f56b77a64b04661a"
"https://github.com/metasfresh/metasfresh.git","122","14","[6cf4d34e0fe977d202f0b1e470a07b8649ac4fe4, d4fe94a1da34134916e176313ff474720b4f5574, 3db9e0801a172ef021fd107586bc84a84d1acfc8, e4ff4b14c01e2e0b0d602876079cf932f388a8fc, 8712d906648bb489a732f40a7b6fb4bb8ac71ac3, 4b319f806bca067a1d89a77060f8750c7e4c2a2f, fbdc8a0bdeef04e89660f42527fbd8d3b68a8f32, f6c863ff2492c9c65cd696201c62858119ae1a37, 7013ab1e89ca86b9f278f3bfc13846deee8391e1, 8150ae9b599b9703fa80e4ea9a2d0655ec810a54, c4081478eda2f95759d550d328a804fd8f97e694, 7822d5bd1fe92137edd3ff50c44d1098cf99245a, 99441dbb5ab745740edb4c8e13ca193a29018431, 5f7a05535dc1ecdd7354e90ea93a2f33a4f08aed]","1594","1","6cf4d34e0fe977d202f0b1e470a07b8649ac4fe4","9972ddcfa979dc1bc513ab0386a33842dc13d604","29e94c2b9daed27f17998fd3f56b77a64b04661a"
"https://github.com/metasfresh/metasfresh.git","129","1","[84918b34249a844d7d51e7c074a03f8b4a8a571e]","136","1","84918b34249a844d7d51e7c074a03f8b4a8a571e","dc1357670593e7d45a9970a9fd7dce71ac42b78f","978f43b3007ede9d540c72bdbedd4e6faaa5d352"
"https://github.com/metasfresh/metasfresh.git","130","7","[ce856f7429b8cb819f95aaed69e7467b5d264a39, 0ed671a8db3ba145fd19c21e64e70f6b8c8429cc, 978f43b3007ede9d540c72bdbedd4e6faaa5d352, 9d47ea75456310399dc480b21861c375f289c85c, e98a6a03046fd298bcd476d51ac3881b828ac2d2, a0c53c030b7aec9eb19642e7cf88051ea4c6d3cc, 83a42f58413068a10e738b885000e49400df6bd7]","140","1","ce856f7429b8cb819f95aaed69e7467b5d264a39","93011ccac5620a075a8d17f13e765f6c42c1811f","b98b093f5f6e283c80156f15b5c5e5ad1b0b68fe"
"https://github.com/metasfresh/metasfresh.git","133","9","[0e65f23acde87dc52cd62c096b1eabdaaf7e84c5, 68b64caf5938fe809250e8c6e8cc65e086ab98bc, af216e22cd112959ef70c70c026ecb68cd86badc, 3085882c0841a1d62a589a0f85aa84ca9f996c9e, bb458de804f75b247f584a264533bcc87258855e, 47b35aa76fcc62f289184601e0aa7cf5b003be50, a40a629849dd9e0e031e02ead88557e054cd1ec7, a9aed7e2a7de1a6f1f2842e87893f29c0f304f3f, d6239f13e749e1aa38b23c0c9c86f8879717ceee]","32","1","0e65f23acde87dc52cd62c096b1eabdaaf7e84c5","59064b25615462d1550b16ebb235b39d1e7fb7c9","32fcdeec5a2df38121adaf427862ef7b0d021f6c"
"https://github.com/metasfresh/metasfresh.git","134","3","[d4fe94a1da34134916e176313ff474720b4f5574, 3db9e0801a172ef021fd107586bc84a84d1acfc8, e4ff4b14c01e2e0b0d602876079cf932f388a8fc]","2","1","d4fe94a1da34134916e176313ff474720b4f5574","59064b25615462d1550b16ebb235b39d1e7fb7c9","8712d906648bb489a732f40a7b6fb4bb8ac71ac3"
"https://github.com/metasfresh/metasfresh.git","137","3","[a40a629849dd9e0e031e02ead88557e054cd1ec7, a9aed7e2a7de1a6f1f2842e87893f29c0f304f3f, d6239f13e749e1aa38b23c0c9c86f8879717ceee]","4","1","a40a629849dd9e0e031e02ead88557e054cd1ec7","749770f1dbd0decae34daed3a463102a87f5fd96","32fcdeec5a2df38121adaf427862ef7b0d021f6c"
"https://github.com/metasfresh/metasfresh.git","21","15","[21301fae460c5ef7fad92f0759baa729259dc7bb, d50dca6a95fce0d39f3708eb7684cfec9a9e3d08, eb168efaab1c61b318ea4f85c23ae44666ba5b77, 43896cb2f71ccf77c6b081b6dcdb0be4fb34ee04, 029190dd9c03f3885b08239724ccf08b17cb21ea, f67b655482fea9f0661b85b092d7d4349f4b20af, 478b4d7d7db2536e83b7cdefed9e2e63d1e1137d, 5b6806e5a23a9f8cc4b8b2a156068cfeecc31797, 45560dd411bc06dc0bf07ac9ab6a795449bcd7a4, 4e2db79f2a671b1bd48544e5c363049b611ef93e, 453ec0d52bb04f5b1c52d226fbe98182445ee158, 9af2e0f647f9a43d8a611cc8a7c79c4f8886da15, 9061c9fb615d0f9eedfbf786fdf41f2174f0685b, c87b3de409bbf6480c9160fa5112763af1b1f399, b11c2b02c646944a5baba299bd112c570dff490f]","261","1","21301fae460c5ef7fad92f0759baa729259dc7bb","5cbaff4cc81b35cb71daa221bd82fa6e9a09de6b","ea3767c9e8e05433e656bc80d1a87a5c0cff5e77"
"https://github.com/metasfresh/metasfresh.git","40","5","[86657e18c32871b1168dee32afc6162bd2415a98, b882912238538815e2c4698f61ae7bfd29b2c922, 4d2b295216c8c6d5b7cc7503f091a1340ee4123a, ed6ee5aef23137b3a04c57f8b678744b3b218540, be198119f1af60f9dfb6f0b8c24220bfb0e26515]","65","1","86657e18c32871b1168dee32afc6162bd2415a98","4829e937b37d11107eaa1f97a1a354801c567512","da85cc4c5335eaea028812df445673ac1f234651"
